Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 127, Global Episode: 3170, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: 0, Epsilon: 0.5291
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 128, Global Episode: 3171, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.5264
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 129, Global Episode: 3172, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.5238
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 130, Global Episode: 3173, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.5212
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 131, Global Episode: 3174, Event: hole, Total Score: -51, Turns: 0, Turn Penalty: 0, Epsilon: 0.5186
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 132, Global Episode: 3175, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.5160
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 133, Global Episode: 3176, Event: hole, Total Score: -64, Turns: 0, Turn Penalty: 0, Epsilon: 0.5134
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 134, Global Episode: 3177, Event: hole, Total Score: -45, Turns: 0, Turn Penalty: -3, Epsilon: 0.5108
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 135, Global Episode: 3178, Event: hole, Total Score: -50, Turns: 0, Turn Penalty: -3, Epsilon: 0.5083
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 136, Global Episode: 3179, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.5058
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 137, Global Episode: 3180, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.5032
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 138, Global Episode: 3181, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: -3, Epsilon: 0.5007
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 139, Global Episode: 3182, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.4982
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 140, Global Episode: 3183, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.4957
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 141, Global Episode: 3184, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.4932
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 142, Global Episode: 3185, Event: hole, Total Score: -88, Turns: 0, Turn Penalty: 0, Epsilon: 0.4908
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 143, Global Episode: 3186, Event: hole, Total Score: -51, Turns: 0, Turn Penalty: -3, Epsilon: 0.4883
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 144, Global Episode: 3187, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.4859
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 145, Global Episode: 3188, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.4834
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 146, Global Episode: 3189, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.4810
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 147, Global Episode: 3190, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: 0, Epsilon: 0.4786
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 148, Global Episode: 3191, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: 0, Epsilon: 0.4762
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 149, Global Episode: 3192, Event: hole, Total Score: -77, Turns: 0, Turn Penalty: -3, Epsilon: 0.4738
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 150, Global Episode: 3193, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.4715
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 151, Global Episode: 3194, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.4691
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 152, Global Episode: 3195, Event: hole, Total Score: -64, Turns: 0, Turn Penalty: -3, Epsilon: 0.4668
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 153, Global Episode: 3196, Event: hole, Total Score: -45, Turns: 0, Turn Penalty: -3, Epsilon: 0.4644
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 154, Global Episode: 3197, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.4621
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 155, Global Episode: 3198, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: 0, Epsilon: 0.4598
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 156, Global Episode: 3199, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.4575
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 157, Global Episode: 3200, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.4552
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 158, Global Episode: 3201, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.4529
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 159, Global Episode: 3202, Event: hole, Total Score: -51, Turns: 0, Turn Penalty: 0, Epsilon: 0.4507
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 160, Global Episode: 3203, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.4484
